Date,zone,centre,Price
07-04-93,4,HYDERABAD,NA
07-04-93,4,VIJAYAWADA,NA
07-04-93,4,BANGALORE,NA
07-04-93,4,THIRUVANANTHAPURAM,NA
07-04-93,4,ERNAKULAM,NA
07-04-93,4,CHENNAI,NA
07-04-93,4,MADURAI,NA
07-04-93,4,PONDICHERRY,NA
14-04-93,1,HISAR,NA
14-04-93,1,KARNAL,NA
14-04-93,1,SHIMLA,NA
14-04-93,1,MANDI,NA
14-04-93,1,SRINAGAR,NA
14-04-93,1,JAMMU,NA
14-04-93,1,AMRITSAR,NA
14-04-93,1,LUDHIANA,NA
14-04-93,1,LUCKNOW,NA
14-04-93,1,KANPUR,NA
14-04-93,1,CHANDIGARH,NA
14-04-93,1,DELHI,NA
14-04-93,2,AHMEDABAD,NA
14-04-93,2,RAJKOT,NA
14-04-93,2,PANAJI,NA
14-04-93,2,BHOPAL,NA
14-04-93,2,INDORE,NA
14-04-93,2,MUMBAI,NA
14-04-93,2,NAGPUR,NA
14-04-93,2,JAIPUR,NA
14-04-93,2,JODHPUR,NA
14-04-93,3,GUWAHATI,NA
14-04-93,3,PATNA,NA
14-04-93,3,SHILLONG,NA
14-04-93,3,AIZAWL,NA
14-04-93,3,BHUBANESHWAR,NA
14-04-93,3,CUTTACK,NA
14-04-93,3,KOLKATA,NA
14-04-93,3,AGARTALA,NA
14-04-93,4,HYDERABAD,NA
14-04-93,4,VIJAYAWADA,NA
14-04-93,4,BANGALORE,NA
14-04-93,4,THIRUVANANTHAPURAM,NA
14-04-93,4,ERNAKULAM,NA
14-04-93,4,CHENNAI,NA
14-04-93,4,MADURAI,NA
14-04-93,4,PONDICHERRY,NA
21-04-93,1,HISAR,NA
21-04-93,1,KARNAL,NA
21-04-93,1,SHIMLA,NA
21-04-93,1,MANDI,NA
21-04-93,1,SRINAGAR,NA
21-04-93,1,JAMMU,NA
21-04-93,1,AMRITSAR,NA
21-04-93,1,LUDHIANA,NA
21-04-93,1,LUCKNOW,NA
21-04-93,1,KANPUR,NA
21-04-93,1,CHANDIGARH,NA
21-04-93,1,DELHI,NA
21-04-93,2,AHMEDABAD,NA
21-04-93,2,RAJKOT,NA
21-04-93,2,PANAJI,NA
21-04-93,2,BHOPAL,NA
21-04-93,2,INDORE,NA
21-04-93,2,MUMBAI,NA
21-04-93,2,NAGPUR,NA
21-04-93,2,JAIPUR,NA
21-04-93,2,JODHPUR,NA
21-04-93,3,GUWAHATI,NA
21-04-93,3,PATNA,NA
21-04-93,3,SHILLONG,NA
21-04-93,3,AIZAWL,NA
21-04-93,3,BHUBANESHWAR,NA
21-04-93,3,CUTTACK,NA
21-04-93,3,KOLKATA,NA
21-04-93,3,AGARTALA,NA
21-04-93,4,HYDERABAD,NA
21-04-93,4,VIJAYAWADA,NA
21-04-93,4,BANGALORE,NA
21-04-93,4,THIRUVANANTHAPURAM,NA
21-04-93,4,ERNAKULAM,NA
21-04-93,4,CHENNAI,NA
21-04-93,4,MADURAI,NA
21-04-93,4,PONDICHERRY,NA
28-04-93,1,HISAR,NA
28-04-93,1,KARNAL,NA
28-04-93,1,SHIMLA,NA
28-04-93,1,MANDI,NA
28-04-93,1,SRINAGAR,NA
28-04-93,1,JAMMU,NA
28-04-93,1,AMRITSAR,NA
28-04-93,1,LUDHIANA,NA
28-04-93,1,LUCKNOW,NA
28-04-93,1,KANPUR,NA
28-04-93,1,CHANDIGARH,NA
28-04-93,1,DELHI,NA
28-04-93,2,AHMEDABAD,NA
28-04-93,2,RAJKOT,NA
28-04-93,2,PANAJI,NA
28-04-93,2,BHOPAL,NA
28-04-93,2,INDORE,NA
28-04-93,2,MUMBAI,NA
28-04-93,2,NAGPUR,NA
28-04-93,2,JAIPUR,NA
28-04-93,2,JODHPUR,NA
28-04-93,3,GUWAHATI,NA
28-04-93,3,PATNA,NA
28-04-93,3,SHILLONG,NA
28-04-93,3,AIZAWL,NA
28-04-93,3,BHUBANESHWAR,NA
28-04-93,3,CUTTACK,NA
28-04-93,3,KOLKATA,NA
28-04-93,3,AGARTALA,NA
28-04-93,4,HYDERABAD,NA
28-04-93,4,VIJAYAWADA,NA
28-04-93,4,BANGALORE,NA
28-04-93,4,THIRUVANANTHAPURAM,NA
28-04-93,4,ERNAKULAM,NA
28-04-93,4,CHENNAI,NA
28-04-93,4,MADURAI,NA
28-04-93,4,PONDICHERRY,NA
05-05-93,1,HISAR,NA
05-05-93,1,KARNAL,NA
05-05-93,1,SHIMLA,NA
05-05-93,1,MANDI,NA
05-05-93,1,SRINAGAR,NA
05-05-93,1,JAMMU,NA
05-05-93,1,AMRITSAR,NA
05-05-93,1,LUDHIANA,NA
05-05-93,1,LUCKNOW,NA
05-05-93,1,KANPUR,NA
05-05-93,1,CHANDIGARH,NA
05-05-93,1,DELHI,NA
05-05-93,2,AHMEDABAD,NA
05-05-93,2,RAJKOT,NA
05-05-93,2,PANAJI,NA
05-05-93,2,BHOPAL,NA
05-05-93,2,INDORE,NA
05-05-93,2,MUMBAI,NA
05-05-93,2,NAGPUR,NA
05-05-93,2,JAIPUR,NA
05-05-93,2,JODHPUR,NA
05-05-93,3,GUWAHATI,NA
05-05-93,3,PATNA,NA
05-05-93,3,SHILLONG,NA
05-05-93,3,AIZAWL,NA
05-05-93,3,BHUBANESHWAR,NA
05-05-93,3,CUTTACK,NA
05-05-93,3,KOLKATA,NA
05-05-93,3,AGARTALA,NA
05-05-93,4,HYDERABAD,NA
05-05-93,4,VIJAYAWADA,NA
05-05-93,4,BANGALORE,NA
05-05-93,4,THIRUVANANTHAPURAM,NA
05-05-93,4,ERNAKULAM,NA
05-05-93,4,CHENNAI,NA
05-05-93,4,MADURAI,NA
05-05-93,4,PONDICHERRY,NA
12-05-93,1,HISAR,NA
12-05-93,1,KARNAL,NA
12-05-93,1,SHIMLA,NA
12-05-93,1,MANDI,NA
12-05-93,1,SRINAGAR,NA
12-05-93,1,JAMMU,NA
12-05-93,1,AMRITSAR,NA
12-05-93,1,LUDHIANA,NA
12-05-93,1,LUCKNOW,NA
12-05-93,1,KANPUR,NA
12-05-93,1,CHANDIGARH,NA
12-05-93,1,DELHI,NA
12-05-93,2,AHMEDABAD,NA
12-05-93,2,RAJKOT,NA
12-05-93,2,PANAJI,NA
12-05-93,2,BHOPAL,NA
12-05-93,2,INDORE,NA
12-05-93,2,MUMBAI,NA
12-05-93,2,NAGPUR,NA
12-05-93,2,JAIPUR,NA
12-05-93,2,JODHPUR,NA
12-05-93,3,GUWAHATI,NA
12-05-93,3,PATNA,NA
12-05-93,3,SHILLONG,NA
12-05-93,3,AIZAWL,NA
12-05-93,3,BHUBANESHWAR,NA
12-05-93,3,CUTTACK,NA
12-05-93,3,KOLKATA,NA
12-05-93,3,AGARTALA,NA
12-05-93,4,HYDERABAD,NA
12-05-93,4,VIJAYAWADA,NA
12-05-93,4,BANGALORE,NA
12-05-93,4,THIRUVANANTHAPURAM,NA
12-05-93,4,ERNAKULAM,NA
12-05-93,4,CHENNAI,NA
