STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
D & N HAVELI,2013,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Epidemic,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Flood,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Heat Stroke,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Landslide,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Lightning,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Torrential rains,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Other Natural Causes,0,0,0,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2013,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Avalanche,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Cold and Exposure,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Cyclone/tornado,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Starvation/thirst,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Epidemic,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Flood,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Heat Stroke,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Landslide,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Lightning,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Torrential rains,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Other Natural Causes,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2013,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI (UT),2013,Avalanche,0,0,0,0,0,0,0,0,0,0,0,0,0
